id,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo
32,M,IMT,2,5,4,3,3,2,5,3,5,3,2,2,5,5,4,3,2,3,4,3,4,4,2,2,2,5,2,5,4,4,5,5,3,3,3,4,5,5,3,2,4,2,4,4.428571429,3.571428571,3.285714286,2.857142857,2.714285714,3.6429,3.6429,3.1429,ES
33,F,ITI,3,5,5,1,3,1,5,5,5,5,5,1,3,5,5,1,5,3,5,5,5,1,5,5,1,5,3,5,5,5,2,5,3,1,1,2,5,3,2,1,1,5,3.428571429,4.714285714,4,2.142857143,3.571428571,3.142857143,2.7857,4.1429,3.5714,EP
34,M,ITI,4,1,3,5,4,1,1,4,2,2,4,1,4,5,2,3,3,3,1,4,1,5,4,1,5,1,1,3,2,2,4,5,1,1,2,1,5,5,1,3,4,5,3.428571429,3.571428571,1.571428571,3.142857143,3.285714286,2,3.2857,3.4286,1.7857,EP
35,M,ITC,4,3,2,5,5,1,4,5,3,1,5,1,4,5,3,2,5,1,5,5,5,2,5,1,3,5,3,5,4,5,5,5,1,1,2,5,4,5,2,3,5,1,4.142857143,4.714285714,2.714285714,2.714285714,4.428571429,2.142857143,3.4286,4.5714,2.4286,EP
36,F,ITI,5,4,3,5,1,3,3,3,3,4,2,1,5,5,5,4,2,2,2,2,1,5,3,1,3,4,1,1,1,3,5,5,3,4,2,1,5,4,4,3,3,5,4,3.857142857,2.857142857,3.714285714,2,2.285714286,3.8571,2.9286,2.5714,ES
37,M,ISC,3,5,5,3,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.714285714,5,5,4.571428571,4.714285714,4.857142857,4.6429,4.8571,4.9286,EL
38,M,ITC,3,3,4,1,3,2,4,4,5,5,5,2,5,4,4,2,2,2,4,3,2,2,4,3,2,4,1,4,2,3,3,3,3,2,2,2,4,3,2,3,4,4,3.571428571,3.428571429,3,2.714285714,3.142857143,2.571428571,3.1429,3.2857,2.7857,EP
39,M,ITI,5,5,5,3,3,1,4,4,5,1,1,4,5,4,5,1,5,3,3,2,3,3,3,3,3,4,5,4,4,3,3,3,5,2,3,2,3,3,4,3,3,3,3.714285714,3.571428571,4.571428571,2.428571429,3.142857143,2.714285714,3.0714,3.3571,3.6429,EL
40,M,ITC,2,1,1,5,2,1,5,5,3,2,2,1,3,5,5,1,2,2,1,2,3,5,2,1,5,5,5,5,2,2,4,5,1,1,1,1,2,1,1,1,3,1,3.142857143,3.428571429,2.714285714,2.857142857,2,1.285714286,3.0000,2.7143,2.0000,ES
41,M,ITI,5,3,3,2,3,1,4,3,4,4,2,2,4,4,3,1,2,3,1,1,2,3,4,2,3,5,4,4,3,4,2,3,4,4,2,3,5,4,3,4,4,5,3.428571429,3.285714286,3.285714286,3.142857143,2.857142857,2.857142857,3.2857,3.0714,3.0714,ES
42,M,ITI,3,3,4,2,5,2,5,5,5,2,5,2,3,3,5,5,4,3,5,3,2,1,5,2,5,5,1,4,2,3,2,4,2,1,3,2,4,5,1,1,5,2,3.857142857,4,2.857142857,2.285714286,4.142857143,2.285714286,3.0714,4.0714,2.5714,EP
43,M,ITI,4,5,5,2,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,3,5,5,3,4,4,5,4,4,4,5,4,4,3,2,5,4,4,3,5,4,4.428571429,4.714285714,4.428571429,3.857142857,4.428571429,4,4.1429,4.5714,4.2143,EP
44,M,IFI,2,4,3,3,4,2,3,5,4,4,4,2,4,4,5,4,3,2,4,4,2,1,4,2,3,3,2,4,4,4,4,5,2,3,2,3,4,4,2,2,4,2,3.428571429,4.142857143,2.857142857,3,3.571428571,2.428571429,3.2143,3.8571,2.6429,EP
45,M,IID,5,5,2,5,5,1,4,5,3,5,4,2,5,1,5,5,3,1,2,5,2,5,5,1,5,5,1,5,4,2,1,5,1,5,2,1,5,5,1,2,5,1,3.857142857,4.428571429,2.142857143,4.571428571,4,1.285714286,4.2143,4.2143,1.7143,ES
46,M,ITI,2,4,1,3,5,5,3,5,3,4,5,2,3,5,5,4,5,3,5,5,5,3,5,3,4,5,3,5,5,5,2,5,2,4,4,4,5,5,3,5,5,2,3.428571429,4.857142857,3.142857143,4,4.857142857,3.428571429,3.7143,4.8571,3.2857,EP
47,M,IID,4,4,4,3,5,2,5,5,4,5,4,3,4,3,5,5,4,3,5,4,4,1,5,3,2,3,2,5,4,4,4,5,3,1,3,4,3,4,4,2,4,2,3.857142857,4,3.714285714,3.142857143,4.142857143,3,3.5000,4.0714,3.3571,EP
48,M,LIN,5,4,5,3,2,1,1,2,4,3,5,5,4,3,3,2,1,5,4,4,3,3,2,1,5,4,3,3,4,1,5,5,4,3,2,5,2,5,4,4,5,5,3.714285714,3.857142857,3.714285714,3,3,3.285714286,3.3571,3.4286,3.5000,EL
49,M,ITI,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3.142857143,3,3.0000,3.0714,3.0000,EP
50,M,IID,2,2,2,2,4,1,4,4,2,4,4,2,1,3,4,4,2,1,1,2,5,3,4,1,2,4,2,5,4,4,2,4,2,1,1,4,1,2,1,1,4,1,1.857142857,3,2.571428571,2.857142857,3.285714286,2,2.3571,3.1429,2.2857,EP
51,M,ITC,1,1,1,5,3,2,3,5,5,5,5,1,1,5,5,3,5,1,5,1,1,1,3,1,5,5,1,5,4,5,1,1,1,1,4,1,3,2,1,3,4,1,2.714285714,2.857142857,2.142857143,3.285714286,4,1.714285714,3.0000,3.4286,1.9286,EP
52,F,ITI,4,5,3,2,3,1,5,4,4,5,4,1,4,5,4,1,4,2,5,5,3,3,4,1,2,4,3,5,2,4,4,4,1,3,1,3,5,4,1,1,4,2,4.142857143,4.428571429,2.714285714,2.857142857,3.142857143,2,3.5000,3.7857,2.3571,EP
53,M,Imt,3,4,4,3,3,2,3,4,4,4,5,2,3,3,5,4,3,3,4,4,4,3,4,2,2,4,3,4,4,4,2,3,2,2,3,3,4,4,3,2,3,2,3,3.714285714,3.571428571,3.142857143,3.571428571,2.571428571,3.0714,3.6429,3.0714,EP
54,F,IMT,5,5,4,2,3,2,5,4,4,5,5,2,5,5,4,5,4,2,5,4,4,5,5,1,5,5,3,5,3,3,2,5,3,2,2,3,5,5,4,2,3,3,4.571428571,4.714285714,3.714285714,3.714285714,3.571428571,2.285714286,4.1429,4.1429,3.0000,ES
