,Sexo,Carrera,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo,Mes
7,M,ISC,4.428571429,4.714285714,4.1428571430000005,3.857142857,5.0,4.571428571,4.1429,4.8571,4.3571,EP,Julio
8,M,ISC,3.857142857,3.857142857,4.285714286,2.714285714,3.714285714,2.857142857,3.2857,3.7857,3.5714,EP,Julio
9,M,ISC,3.285714286,3.285714286,2.5714285709999998,2.714285714,3.285714286,2.5714285709999998,3.0,3.2857,2.5714,EP,Julio
10,M,ISD,3.857142857,4.0,4.428571429,4.571428571,4.714285714,4.0,4.2143,4.3571,4.2143,EP,Julio
11,M,ITC,3.142857143,2.4285714290000002,2.4285714290000002,3.142857143,2.4285714290000002,2.4285714290000002,3.1429,2.4286,2.4286,ES,Julio
12,M,ITI,3.571428571,3.428571429,3.285714286,4.0,3.142857143,1.714285714,3.7857,3.2857,2.5,ES,Julio
13,M,ISC,3.428571429,3.857142857,3.428571429,3.285714286,3.714285714,2.714285714,3.3571,3.7857,3.0714,EP,Julio
14,F,ISC,3.857142857,3.571428571,3.428571429,2.857142857,2.714285714,2.142857143,3.3571,3.1429,2.7857,ES,Julio
15,M,ITI,3.571428571,4.285714286,3.428571429,3.285714286,4.1428571430000005,3.0,3.4286,4.2143,3.2143,EP,Julio
16,M,ISDR,3.714285714,4.285714286,3.571428571,3.428571429,3.714285714,3.571428571,3.5714,4.0,3.5714,EP,Julio
17,M,Lc,2.857142857,3.857142857,2.4285714290000002,2.714285714,3.857142857,2.5714285709999998,2.7857,3.8571,2.5,EP,Julio
18,M,IC,4.0,4.571428571,4.0,3.142857143,4.714285714,3.714285714,3.5714,4.6429,3.8571,EP,Julio
19,M,ISC,3.857142857,4.1428571430000005,4.571428571,3.714285714,4.571428571,4.714285714,3.7857,4.3571,4.6429,EL,Julio
20,M,RCI,3.428571429,3.142857143,1.857142857,3.428571429,3.285714286,2.5714285709999998,3.4286,3.2143,2.2143,ES,Julio
21,M,ITC,3.714285714,4.714285714,4.428571429,2.285714286,4.714285714,3.285714286,3.0,4.7143,3.8571,EP,Julio
22,M,ISD,2.714285714,4.1428571430000005,2.857142857,2.285714286,4.666666667,3.666666667,2.5,4.4048,3.2619,EP,Julio
23,F,IRS,3.142857143,3.142857143,2.5714285709999998,1.714285714,2.857142857,1.714285714,2.4286,3.0,2.1429,EP,Julio
24,F,LCMD,3.142857143,4.285714286,3.571428571,2.0,3.571428571,2.142857143,2.5714,3.9286,2.8571,EP,Julio
25,M,ISD,4.285714286,4.571428571,3.571428571,2.857142857,4.571428571,4.1428571430000005,3.5714,4.5714,3.8571,EP,Julio
26,M,ISD,3.857142857,3.571428571,3.571428571,3.142857143,3.142857143,2.0,3.5,3.3571,2.7857,ES,Julio
27,F,ITC,4.285714286,3.714285714,4.0,3.0,3.714285714,1.714285714,3.6429,3.7143,2.8571,EP,Julio
28,F,ITC,4.428571429,4.285714286,3.142857143,3.0,3.428571429,2.5714285709999998,3.7143,3.8571,2.8571,EP,Julio
29,M,ITC,3.142857143,4.0,2.714285714,2.4285714290000002,3.0,1.428571429,2.7857,3.5,2.0714,EP,Julio
30,F,ITC,3.714285714,4.1428571430000005,2.142857143,2.857142857,4.1428571430000005,2.0,3.2857,4.1429,2.0714,EP,Julio
31,M,MC,3.428571429,4.571428571,3.714285714,3.0,4.1428571430000005,4.571428571,3.2143,4.3571,4.1429,EP,Julio
32,M,ISC,3.857142857,3.0,2.285714286,3.285714286,3.142857143,2.285714286,3.5714,3.0714,2.2857,ES,Julio
33,M,ISC,2.714285714,4.1428571430000005,2.714285714,3.142857143,3.714285714,2.285714286,2.9286,3.9286,2.5,EP,Julio
34,M,ISC,3.857142857,3.0,2.4285714290000002,2.714285714,3.428571429,2.285714286,3.2857,3.2143,2.3571,ES,Julio
35,M,IMT,3.857142857,4.0,3.857142857,2.4285714290000002,4.1428571430000005,3.857142857,3.1429,4.0714,3.8571,EP,Julio
36,M,ISD,4.0,3.571428571,3.428571429,3.142857143,3.0,1.857142857,3.5714,3.2857,2.6429,ES,Julio
37,F,ITI,3.428571429,3.714285714,1.714285714,3.142857143,3.428571429,2.4285714290000002,3.2857,3.5714,2.0714,EP,Julio
38,M,ISD,4.1428571430000005,3.857142857,3.428571429,3.571428571,4.0,3.0,3.8571,3.9286,3.2143,EP,Julio
39,M,ISC,4.0,3.571428571,2.5714285709999998,3.0,3.714285714,2.714285714,3.5,3.6429,2.6429,EP,Julio
40,M,ISDR,4.1428571430000005,5.0,3.857142857,4.0,4.714285714,3.285714286,4.0714,4.8571,3.5714,EP,Julio
41,M,ITC,4.285714286,3.333333333,2.4285714290000002,2.5714285709999998,3.428571429,2.0,3.4286,3.381,2.2143,ES,Julio
42,F,LAE,3.571428571,2.4285714290000002,4.0,2.0,2.142857143,1.714285714,2.7857,2.2857,2.8571,EL,Julio
43,F,IMD,3.0,3.428571429,3.285714286,2.714285714,3.0,2.5714285709999998,2.8571,3.2143,2.9286,EP,Julio
44,F,ITIt,4.428571429,3.5,3.428571429,3.428571429,3.428571429,2.5714285709999998,3.9286,3.4643,3.0,ES,Julio
